code,nom,fbID,apropos,description,mission,categorie1,categorie2,categorie3,pays,état,ville,adresse courte,adresse longue,likes,talking_about,Indice (L*TA/10⁶)
infomantv,Infoman,133066930080591,L'actualité d'ici et d'ailleurs passée au tordeur!,"De retour au poste pour une 15e saison, Jean-René Dufort ressort sa loupe d’observation bien à lui, pourchassant sans relâche les incongruités et les aberrations de nos politiciens et de nos médias. L’Écosse, la commission Charbonneau, la course à la chefferie du PQ et les hostilités pré-électorales à Ottawa seront dans sa ligne de mire. Pendant ce temps, ses complices MC Gilles et Chantal Lamarre décrypteront quelques-uns des phénomènes de masse et autres tendances qui laissent le monde perplexe.",?,TV Show,?,?,?,?,?,?,?,154830,27404,"4242,96132"
ledevoir,Le Devoir,98317905527,Libre de penser  http://www.ledevoir.com,?,"La mission première du Devoir est d'informer ses lecteurs et d'alimenter la réflexion au sein du public. Témoin honnête, libre et responsable, il n'obéit qu'à ses propres critères pour établir son traitement de l'actualité et la hiérarchie des informations qu'il présente à ses lecteurs.",News & Media Website,?,?,Canada,QC,Montreal,"1265 rue Berri, 8e étage","1265 rue Berri, 8e étage, Montreal, Quebec H2L 4X4",263064,15013,"3949,379832"
vicequebec,VICE Québec,1685274481760509,?,?,?,Media/News Company,?,?,?,?,?,?,?,111954,32763,"3667,948902"
CBCMontreal,CBC Montreal,128015371297,Your source for breaking news and top stories in Montreal. ,"The CBC Montreal Facebook page connects you to our journalists and to your community. We welcome your breaking news tips, comments and story ideas on Facebook and elsewhere:
 
Find us online at cbc.ca/montreal 

On Twitter: twitter.com/CBCMontreal 
On Instagram: instagram.com/CBCMontreal

Share with us using #cbcmtl


Please keep your Facebook posts relative to the topic. Your contributions make our programming richer and the conversations more lively and diverse. We reserve the right to remove any posts that are offensive, pornographic, vulgar, obscene, illegal, hateful, threatening, harassing, personally attacking, insulting and defamatory, or suggest committing a criminal act. Spam, graffiti, solicitations and advertising are also prohibited, and will be removed from the page.

If any of the rules are broken on a repeat basis, the person posting the content will be suspended and removed from the page. If a member of the page is not abiding by the posting guidelines, please feel free to report it.

For commenting and submission guidelines, please visit our submissions guidelines page online: http://www.cbc.ca/aboutcbc/discover/submissions.html",?,Broadcasting & Media Production Company,?,?,Canada,QC,Montreal,1400 René Lévesque Boulevard E,"1400 René Lévesque Boulevard E, Montreal, Quebec H2L 2M2",80524,26527,"2136,060148"
URBANIA,URBANIA,70366134138,"Baveux, mais pas moqueur. Drôle, mais pas léger. Authentique, mais pas banal.","Fabriqué à Montréal depuis 2003, il s’adresse à une communauté de gens curieux qui ont soif d’un média intelligent, irrévérencieux et fougueux.","La mission qu’URBANIA s’est donnée, c’est d’être d’audacieux anthropologues de la culture populaire et de la société, tous âges et toutes classes sociales confondus.

Que ce soit à travers son magazine, son site web, ses séries télé ou ses événements, URBANIA est une tribune, un portevoix pour des points de vue singuliers, des témoignages troublants, des idées à tester et des coups de gueule qui frappent, provoquent des réactions et renversent les perceptions.

Fabriqué à Montréal depuis 2003, il s’adresse à une communauté de gens curieux qui ont soif d’un média intelligent, irrévérencieux et fougueux.",Media/News Company,?,?,Canada,QC,Montreal,880 ROY E. #200,"880 ROY E. #200, Montreal, Quebec H2L 1E6",113268,18134,"2054,001912"
naitreetgrandir,Naître et grandir,63358436494,Magazine et site web sur la grossesse et le développement des enfants de 0 à 8 ans,"Naître et grandir est à la fois un magazine et un site internet dont le but est d'accompagner les parents dans leur rôle auprès de leur enfant, dès la conception jusqu'à 8 ans. Les textes courts et concrets sont validés scientifiquement et rédigés dans un langage simple et accessible.

Plusieurs sujets y sont abordés, notamment le développement, le jeu, l'éducation, la santé, la nutrition et la psychologie. Naître et grandir ne diffuse aucune publicité et s'engage à une indépendance absolue à propos de son contenu.

Des campagnes Naître et grandir visent également à sensibiliser les parents et l'ensemble de la société québécoise à l'importance de favoriser le développement des enfants, dès leur plus jeune âge, afin de créer des conditions et des environnements propices à leur réussite éducative. ","La mission de Naître et grandir est de soutenir quotidiennement les parents québécois dans leur rôle auprès de leur enfant, de la conception jusqu’à 8 ans.",Media/News Company,?,?,?,?,?,?,?,271709,7269,"1975,052721"
montrealgazette,Montreal Gazette,273805206181,Keep the news with you at all times with the Montreal Gazette.  ,?,?,News & Media Website,?,?,?,?,?,?,?,150730,12732,"1919,09436"
lactualite,L'actualité,10216458583,"Média de grands reportages, d'analyse et de réflexion, L'actualité est le magazine d'information numéro un au Québec et l'un des plus grands périodiques de langue française dans le monde. www.lactualite.com",La netiquette qui régit la modération des commentaire sur cette page Facebook est celle-ci : http://www.lactualite.com/netiquette,?,Magazine,?,?,?,?,?,?,?,466422,3549,"1655,331678"
TeleQc,Télé-Québec,432743573441081,Fréquentez-nous le plus souvent possible : cette télévision est faite pour vous! www.telequebec.tv,"Passionné(e)s de Télé-Québec, bienvenue!
Nous vous encourageons à partager ici vos commentaires et réactions à l’égard de tout ce qui se diffuse sur notre chaîne et sur toute autre plateforme (web, mobile, etc.) exploitée par Télé-Québec.  Nous aimons interagir avec vous, alors n'hésitez pas à vous exprimer et à échanger sur cette page! 

Cependant, nous comptons sur vous afin de faire preuve de courtoisie et de respect dans vos interventions. Avec l'objectif de favoriser des échanges agréables, nous tenons à vous informer de notre nétiquette régissant la façon dont les utilisateurs peuvent contribuer à cette page Facebook.

Veuillez donc vous référer à notre politique de nétiquette : http://www.telequebec.tv/corporatif/?section=netiquette

Merci de votre collaboration, de faire partie de notre communauté Facebook et au plaisir d'échanger avec vous!


",?,TV Channel,?,?,Canada,QC,Montreal,?,"Montreal, Quebec H2K 3L7",78067,19362,"1511,533254"
coupdepouce,Coup de pouce,148988156276,"Coup de pouce propose des recettes savoureuses et des conseils sur la famille, la santé, le mieux-être, la mode la beauté et la déco. www.coupdepouce.com","Vous avez envie d'alimenter notre page Facebook? Nous accueillons vos commentaires avec plaisir mais nous nous réservons le droit de supprimer ceux jugés hors sujet, diffamatoires ou non respectueux des autres membres de la page Coup de pouce. 

Veuillez également noter que les messages promotionnels n'ayant pas de lien avec Coup de pouce seront supprimés. ","Coup de pouce a comme mission de proposer des solutions concrètes aux préoccupations des femmes et ce, dans toutes les sphères de leur vie. Généreux, complet et pratique, c'est aussi une référence en matière de cuisine. Abonnez-vous au magazine en cliquant ici: http://bit.ly/1IW6J5K  ",Magazine,?,?,?,?,?,?,?,250573,5814,"1456,831422"
ctvmontreal,CTV Montreal,38459519955,"CTV Montreal, formerly CFCF, was the first private television station in Montreal. It was launched in January 1961 and was one of the founding partners in the CTV network.",?,?,TV Channel,?,?,Canada,QC,Montreal,1205 Papineau Ave.,"1205 Papineau Ave., Montreal, Quebec H2K 4R2",63044,20652,"1301,984688"
SympaticoPortail,Sympatico,144006416284, Vous êtes au bon endroit pour rester au fait des nouvelles et des points de vue en provenance du portail Sympatico.ca. ,Vous êtes au bon endroit pour rester au fait des nouvelles et des points de vue en provenance du portail Sympatico.ca.,"Vous êtes au bon endroit pour rester au fait des nouvelles et des points de vue en provenance du portail Sympatico.ca. Cliquez ""LIKE"" ou ""J'AIME"" sur cette page pour ne rien manquer de l'Actualité, des informations, du sport, des potins de stars d'ici et d'ailleurs, ainsi que des nouveautés dans les domaines de l'automobile, du voyage, de la mode, de la décoration et entretien d'une maison, etc.

Nous désirons avoir de vos nouvelles. Nous ferons de notre mieux pour que les affichages conservent leur caractère familial sur cette page. Il se pourrait toutefois que nous ne soyons pas toujours en mesure de vérifier chacun des affichages. Nous comptons sur vous pour rester polis et suivre quelques directives axées sur le bon sens lorsque vous partagez vos idées, vos photos ou toute autre information de circonstance.

Veuillez ne pas afficher d’information qui :
•	représente une attaque personnelle ;
•	constitue un pourriel, y compris une promotion ou toute autre forme de publicité personnelle ;
•	ne vous appartient pas, sans donner votre permission ou le crédit approprié ;
•	soit de nature offensive, obscène, diffamatoire ou abusive ;
•	soit de nature frauduleuse ou trompeuse ;
•	soit de nature illégale ou interdite. 

Sympatico.ca se réserve le droit de retirer tout affichage de quiconque dérogerait au bon goût en tenant des propos grivois ou déplacés. 

Les affichages sur la page Facebook de Sympatico.ca ne sont pas représentatifs des opinions des organismes derrière Sympatico.ca ou Bell. Nous ne sommes pas en mesure non plus de confirmer leur justesse. Pour plus de renseignements sur les conditions d’utilisation de Sympatico.ca, veuillez visiter http://www.bellmedia.ca/fr/conditions-des-sites-web-bell-media/ .
",News & Media Website,?,?,?,?,?,?,?,92386,10541,"973,840826"
globalmontreal,Global Montreal,115446208478014,"Welcome to Global Montreal's Facebook page - your source for local news, weather and entertainment. Feel free to say hi and share your thoughts. ","Please keep your Facebook posts clean, constructive and on topic. 

Unlawful, disrespectful, slanderous, defamatory, malicious, threatening, profane, obscene, tasteless or pornographic remarks will not be tolerated, and will be deleted without notice. 

Spam, graffiti, campaigning and advertising are also strictly prohibited. While we encourage free speech and debate, harassment and attacks on fellow Facebook fans are unacceptable. 

Repeated abusers of this policy will be reported, and may be banned.",?,Media/News Company,?,?,Canada,QC,Montreal,1010 Saint Catherine Street West,"1010 Saint Catherine Street West, Montreal, Quebec H3B 5L1",46300,19928,"922,6664"
icigrandmontreal,ICI Grand Montréal,134483853321456,Une fenêtre sur la vie dans la région et un lieu de discussion sur les sujets qui vous touchent. De la Rive-Nord à la Rive-Sud.,"ICI Grand Montréal, c'est une communauté d’intérêts axée sur la vie dans la grande région métropolitaine sous toutes ses coutures. Actualités, tendances, découvertes, réflexion, c’est la référence pour savoir ce qui se passe dans le Grand Montréal.

ICI Grand Montréal, c’est aussi un lieu de discussion sur ce qui vous allume, sur les sujets qui vous touchent et dont vous voulez entendre parler. C’est un canal de communication bidirectionnel. Nous voulons vous entendre! Exprimez-vous!

ICI Grand Montréal, c’est une équipe de journalistes et des chroniqueurs qui sortent sur le terrain pour dénicher des histoires originales.

Qui sommes-nous?

Naima Benabdallah/Claudia Timmons, coordonnatrice
Marie-Ève Tremblay, chroniqueuse web
Thomas Gerbet, journaliste 
Francis Labbé, journaliste 
Pascal Robidas, journaliste
Hugo Lavoie, chroniqueur urbain
Ève Christian, météorologue
Yves Desautels, chroniqueur à la circulation

Nétiquette de Radio-Canada.ca : http://bit.ly/vsoSrP","ICI Grand Montréal : éclairer, informer, divertir.",Media/News Company,?,?,?,?,Montréal,"1400, boul. René Lévesque Est","1400, boul. René Lévesque Est, H2L2M2 Montréal",33469,21697,"726,176893"
la.lesaffaires,Les Affaires,100306918236,"Bienvenue sur la page Facebook de Les Affaires ! 

","Les Affaires est le seul média à contribuer à la réussite en affaires, professionnelle et financière, de quiconque fait des affaires au Québec ou s'y intéresse de près, en offrant le meilleur journalisme d'affaires, des plateformes inédites pour faciliter le développement des affaires, et des contenus pratiques pour la gestion et les finances personnelles.

Lisez-nous et suivez-nous ici :

www.lesaffaires.com
www.linkedin.com/company/les-affaires
www.twitter.com/la_lesaffaires

Retrouvez Les Affaires aux deux semaines en version papier ou en version numérique sur iPad et Zinio, et sur lesaffaires.com tous les jours.

Pour vous abonner : http://bit.ly/1TiYofl
",?,Business & Economy Website,?,?,Canada,QC,Montreal,"1100, boul. René-Lévesque Ouest, 24e étage","1100, boul. René-Lévesque Ouest, 24e étage, Montreal, Quebec H3B 4X9",124582,5487,"683,581434"
journalmetro,Journal Métro,64790844524,Métro fait le tour de l'actualité de façon concise et rapide!,?,"Suivez-nous sur Facebook! On vous parle d'actualité locale et de culture, sans oublier les nouvelles plus légères pour faire passer la journée à la job plus vite!",News & Media Website,?,?,?,?,?,?,?,153197,4382,"671,309254"
protegezvous,Protégez-Vous,131271093563675,"Organisme sans but lucratif indépendant de toute influence commerciale, qui réalise des tests sur des milliers de produits, dans des labos spécialisés.","Pour contacter la rédaction : 
courrier@protegezvous.ca 

Pour contacter le service des abonnements : service@protegezvous.ca
1 866 895-7186 (lundi au vendredi de 8 h à 20 h et le samedi de 10 h à 17 h)

Protégez-Vous ne répondra pas systématiquement aux commentaires et questions laissés sur cette page Facebook. 

Facebook se veut un lieu de diffusion regroupant des opinions, des cas vécus et des enjeux formant une information complémentaire variée et aux multiples points de vues.

Nétiquette de Protégez-Vous:

1. Respect: Les propos grossiers, offensants, diffamatoires, les menaces ou les incitations à la violence ou à la haine ne seront pas acceptés, de même que les messages visant à dénigrer un individu ou une entreprise.

2. Publicité et relations publiques: Protégez-Vous refusera d’afficher sur sa page tout message visant la vente ou la promotion d’un bien ou d’un service. Il en va de même pour tout appel à l’action et arguments visant à utiliser un service ou à adhérer à un organisme politique, religieux ou autre. Les propos incitant à des pratiques malhonnêtes ou illégales seront aussi supprimés.

3. Droit de non publication: Protégez-Vous se réserve le droit de supprimer tout message qui enfreint les règles de nétiquette ou encore de supprimer certains messages trop longs.

-----------------------------------

www.protegezvous.ca
www.dataconso.ca
www.twitter.com/protegezvous
www.youtube.com/protegezvous
www.vimeo.com/protegezvous
www.pinterest.com/protegezvous
www.instagram.com/protegezvous
https://itunes.apple.com/ca/app/protegez-vous/id524994417
https://plus.google.com/u/0/101037916971915568652

","Protégez-Vous, c’est un organisme sans but lucratif. C’est une équipe allumée qui, au moyen d’un site web, d’applications, de guides pratiques, d’un magazine et d’initiatives tels les sceaux «Protégez-Vous recommande», vous offre des conseils avisés. Indépendants de toute influence commerciale, car soutenus par nos abonnés, nos experts effectuent chaque année des dizaines de tests sur des milliers de produits, dans des laboratoires spécialisés. En outre, ils réalisent des sondages rigoureux et mènent des enquêtes autonomes permettant de faire ressortir les meilleurs choix en matière de consommation.

Protégez-Vous rejoint 300 000 citoyens par le biais de ses publications, de ses infolettres et des réseaux sociaux. Nous sommes membres de l’International Consumer Research and Testing, qui regroupe plus de 35 organismes répartis sur tous les continents et dont l’activité principale est de réaliser des tests sur des produits de consommation.",Media/News Company,?,?,Canada,QC,Montreal,?,"Montreal, Quebec",160145,4090,"654,99305"
quotidienlatribune,La Tribune,315133550256,http://www.latribune.ca,?,?,Newspaper,Advertising/Marketing,Broadcasting & Media Production Company,Canada,QC,Sherbrooke,1950 Roy,"1950 Roy, Sherbrooke, Quebec J1K2X8",32059,19259,"617,424281"
Tout-le-monde-en-parle-112565155447457,Tout le monde en parle,112565155447457,"Voyez de quoi tout le monde parle, les dimanches à 
20 h!
Sur Twitter : OFF_TLMEP
Sur Instagram : off_tlmep",?,?,TV Show,?,?,?,?,?,?,?,175454,3450,"605,3163"
radiocanada.sports,Radio-Canada Sports,163083777048046,"Les nouvelles sportives de Radio-Canada, diffuseur officiel des Jeux olympiques jusqu'en 2024.

Twitter/Instagram : RC_Sports ",?,?,News & Media Website,?,?,?,?,?,?,?,67133,8438,"566,468254"
iciquebec,ICI Québec,188385537886041,"ICI Radio-Canada Première, ICI Musique, ICI Radio-Canada Télé et Radio-Canada.ca dans la grande région de Québec!","Produits à Radio-Canada Québec : 
RADIO - ICI RADIO-CANADA PREMIÈRE 106,3 FM
Signal en direct : http://bit.ly/2kxEuVA

Première Heure
Avec Claude Bernatchez
Du lundi au vendredi, de 5 h 30 à 9 h

Radio-Canada cet après-midi
Avec Catherine Lachaussée
Du lundi au vendredi, de 15 h à 18 h

TÉLÉVISION - ICI RADIO-CANADA TÉLÉ
Signal en direct : http://bit.ly/2nTd1MY

Le Téléjournal Québec
Avec Bruno Savard
Du lundi au vendredi, dès 18 h
Et avec Guillaume Dumas
Samedi et dimanche, dès 18 h

En Supplémentaire (émission estivale)
Avec Claudia Genel
Du lundi au vendredi, 18 h 30

La Semaine Verte
Avec Catherine Mercier
Samedi, 17 h en rediffusion le dimanche à 12 h 30

Second Regard
Avec Alain Crevier
Dimanche, 13 h 30

FRÉQUENCES 

ICI RADIO-CANADA TÉLÉ
Câble 6
Express Vu 111
Numérique 12
DéryTélécom 5 - 705 HD
Vidéotron 2 - 602 HD

ICI RADIO-CANADA PREMIÈRE
Baie-Saint-Paul 104,9 FM, Côte de Beaupré 96,7 FM, La Malbaie 99,3 FM, Québec 106,3 FM, Saint-Fabien-de-Panet 93,7 FM, Saint-Georges-de-Beauce 96,7 FM, Saint-Pamphile 88,7 FM, Thetford-Mines 90,1 FM.

ICI MUSIQUE
Baie-St-Paul 88,9 FM, Côte de Beaupré 89,9 FM, La Malbaie 91,5 FM, Québec 95,3 FM, Sainte-Anne-de-Beaupré 89,9 FM.

Si vous avez des questions ou des commentaires concernant les aspects techniques du site Internet rendez-vous au entraide.ici.radio-canada.ca.",?,Broadcasting & Media Production Company,?,?,Canada,QC,Quebec,"888, rue Saint-Jean","888, rue Saint-Jean, Quebec, Quebec G1R 5H6",69501,7701,"535,227201"
lesoleildequebec,"Le Soleil, le quotidien de Québec",192978590727638,"Le Soleil est la référence en information à Québec. Sur Twitter: @cyblesoleil Sur Instagram: @lesoleildequebec Sur Pinterest: @lesoleilquebec Sur Youtube: http://bit.ly/2AljXIa
",?,?,Media/News Company,?,?,Canada,QC,Quebec,"410, boulevard Charest Est","410, boulevard Charest Est, Quebec, Quebec G1K 7J6",60292,7463,"449,959196"
TV5.ca,TV5.ca,208433764511,"TV5 témoigne de la vitalité de la langue française en proposant une programmation dynamique issue du Canada, de l’Europe et de l’Afrique.",?,"Fidèle aux valeurs d'ouverture, de partage et d'affirmation d'un esprit et d'une langue,TV5 est une chaîne à l'écoute des gens et qui s'adresse aux gens! Partenaire du deuxième réseau de télévision le plus largement distribué à travers le monde, TV5 Québec Canada se positionne favorablement au sein de la communauté francophone internationale et offre une vision et des points de vue différents pour aller au-delà des images. Forte de l'image de marque qu'elle a su se bâtir, TV5 rejoint un auditoire ciblé de francophones et de francophiles ouverts à la diversité, à la pluralité et au dialogue. Elle demeure une formidable ambassadrice de la cohabitation et de la mixité culturelle grâce à la formidable synergie d'un ensemble de télévisions publiques francophones aux quatre coins du globe.",TV Channel,?,?,?,?,?,?,?,195557,2055,"401,869635"
icisaguenaylacsaintjean,ICI Saguenay–Lac-Saint-Jean,471020985450,"Y'a des matins en semaine 6 h 
Style libre en semaine 15 h 30
Le Téléjournal Saguenay-Lac-Saint-Jean 
7 jours sur 7 18 h
Le TJ extra vendredi 18 h 30",?,?,Media/News Company,Region,Lake,Canada,QC,Chicoutimi,?,"Chicoutimi, Quebec G7H 6N4",34661,11546,"400,195906"
rdieconomie,RDI Économie,273070192878526,"Lundi au vendredi à 18h30 HE sur les ondes d'ICI RDI
Notre courriel : rdieconomie@radio-canada.ca","RDI économie, c'est pour tout le monde le moindrement un peu curieux. Le but de l'émission est d'expliquer les enjeux socioéconomiques. L'économie fait partie de notre vie quotidienne et au coeur de nombreuses décisions politiques ici comme ailleurs. S'intéresser à ce qui se passe dans l'économie, c'est s'engager à mieux comprendre le monde dans lequel on vit, c'est se donner les moyens de faire partie des décisions et non de les subir. Posez-nous vos questions!",?,TV Show,?,?,?,?,?,?,?,63963,5763,"368,618769"
985fm,"98,5 FM",141792675836335,"98,5fm Vous le savez maintenant !  http://www.985fm.ca",?,?,Website,?,?,Canada,QC,Montreal,"800 de la Gauchetière Ouest, bureau 1100","800 de la Gauchetière Ouest, bureau 1100, Montreal, Quebec H5A 1M1",51936,6805,"353,42448"
BLVD1021,BLVD 102.1,150432825297809,"BLVD 102.1, la radio qui fait parler!","BLVD 102,1, un grand carrefour où toutes les musiques se croisent, où tout le monde se rencontre et où toutes les opinions circulent.

Une propriété Leclerc Communication",?,Radio Station,?,?,?,?,?,?,?,109730,2535,"278,16555"
HollywoodPQ,HollywoodPQ.com,199477370862,HollywoodPQ est le site #1 pour tout savoir (avant tout le monde) sur les stars québécoises et internationales qui vous allument. ,Suivez-vous sur Twitter @hollywoodpq - www.twitter.com/hollywoodpq,On potine au MAX!,Media/News Company,?,?,Canada,QC,Montreal,?,"Montreal, Quebec",95921,2831,"271,552351"
lesacdechips,Le sac de chips,574845642586113,"Quand on commence, on ne s'arrête plus","Quand on commence, on ne s'arrête plus!",?,News & Media Website,?,?,?,?,?,?,?,71870,3259,"234,22433"
lavantageqcca,L'Avantage,311812224673,Pour consulter nos modalités d'utilisation cliquez ici: http://goo.gl/ntvdqV,"Rimouski :
L’Avantage votre journal est un hebdomadaire de TC • Media, distribué gratuitement chaque mercredi à plus de 37 000 foyers, par notre équipe de camelots et de distributeurs, sur le territoire des MRC Rimouski-Neigette et de la Mitis ainsi que des municipalités à l'Est des MRC des Basques et du Témiscousata.  Cela en fait l’hebdomadaire possédant le plus grand réseau de diffusion à l’Est de Québec : une façon simple et efficace de communiquer avec plus de 70 000 lecteurs chaque semaine. Le taux d’appréciation de L’Avan­tage par ses lecteurs est de 7,8 sur 10, selon la firme de Sondage Léger Marketing, lors d’une étude de lectorat effectuée en 2007, et le taux de lecture se situe à 92 %. Voilà qui confirme la perspicacité de nos annonceurs qui n’hésitent pas à nous confier leur budget publicitaire.

Matane :
L’Avantage gaspésien a vu le jour en mars 2004. L’Avantage gaspésien est un hebdomadaire de TC • média, distribué gratuitement tous les mercredis à plus de 16 000 copies, par notre équipe de ca­me­lots, de distributeurs et par Postes Canada sur le territoire de Baie-des-Sables à Rivière-Madeleine : une façon simple et efficace de communiquer avec plus de 24 000 lecteurs cha­que semaine.",?,Media/News Company,?,?,Canada,QC,Rimouski,"217, avenue Léonidas sud, Bureau 6-D","217, avenue Léonidas sud, Bureau 6-D, Rimouski, Quebec G5L 2T5",62130,3423,"212,67099"
tvagatineauottawa,TVA Gatineau-Ottawa,213820898747207,Le leader de l'information à Gatineau-Ottawa.,"Miroir de la société, TVA Gatineau-Ottawa, une station du groupe RNC Media inc., est dirigée par des gens d'ici. Des gens passionnés qui, depuis plus de trente ans, ont cru et croient encore en la réussite d'une station de télévision régionale francophone au service de sa communauté. 

Toujours au premier rang des émissions de langue française dans le marché de la région, TVA Gatineau-Ottawa poursuit sa mission d'excellence. La station produit des émissions de nouvelles locales quotidiennement. Le TVA Nouvelles Gatineau-Ottawa dresse un bilan complet de l'actualité se déroulant dans l'Outaouais québécois, mais également en provenance d'Ottawa et de l'Est ontarien. Vous y retrouverez des sujets qui préoccupent et concernent la population de la région que ce soit dans le domaine de la santé, de l'éducation, de la politique, de l'économie, du sport ou du secteur communautaire. Pour être bien informé de ce qui se passe chez vous, l'équipe de TVA Gatineau-Ottawa est au rendez-vous!",?,TV Channel,?,?,?,?,?,?,?,52999,3504,"185,708496"
eduhaime,Éric Duhaime,216141861779286,"Animateur, chroniqueur et auteur, notamment de ""L'État contre les jeunes""(2012), ""Libérez-nous des syndicats!"" (2013), ""La SAQ pousse le bouchon!"" (2014) et ""La fin de l'homosexualité et le dernier gay"" (2017).",?,?,Public Figure,?,?,Canada,QC,Montreal,?,"Montreal, Quebec",52500,3532,"185,43"
radiocanada.science,Radio-Canada Science,1093913860657127,"L'actualité scientifique au quotidien! On vous parle de science, santé et environnement. Suivez-nous!","L'actualité scientifique au quotidien, avec vous! Radio-Canada vous parle de science, santé et environnement.

Merci de respecter la nétiquette lors de vos échanges, et surtout de demeurer respectueux des autres internautes, sans quoi vous courez le risque d'être bannis ne notre tribune : http://ici.radio-canada.ca/apropos/conditionsutilisation/netiquette/

Veuillez noter que nous effectuons une modération de base des commentaires, mais que nous n'avons pas la capacité de tous les lire. Merci de nous signaler les commentaires que vous jugez inappropriés.",?,Media/News Company,?,?,Canada,QC,Montreal,"1400, boulevard René-Lévesque Est","1400, boulevard René-Lévesque Est, Montreal, Quebec H2L 2M2",29957,6114,"183,157098"
icimauriciecentreduquebec,ICI Mauricie Centre-du-Québec,353039654402,"ICI Mauricie, c'est votre station régionale de Radio-Canada sur Internet, à la radio et à la télé.","Site Internet régional de Radio-Canada
ICI.Radio-Canada.ca/mauricie

Facteur matinal
ICI Radio-Canada Première
En semaine, de 6 h à 9 h
96,5FM
360 PM
ICI Radio-Canada Première
En semaine, de 15 h 30 à 18 h
96,5FM

Téléjournal Mauricie
ICI Radio-Canada Télé
7 jours, 18 h
Cogéco 3, HD 504 | Vidéotron 10, HD 602 | Bell 542 | Shaw HD 705",?,Broadcasting & Media Production Company,?,?,Canada,QC,Trois-Rivières,225 rue des Forges,"225 rue des Forges, Trois-Rivières, Quebec G9A 2G7",27584,6512,"179,627008"
